Instance name,Subramanyam and Gounaris (2018),Root time (sec.),Total time (sec.),# BC nodes,Root LB,Root UB,root-Gap,Best Bound,Best Integer,Status,res-Gap,Best known
burma14_p3_f50_lH,7308,0.00,0.00,0,7308.0,7308,0.0,7308.0,7308,1,,0
burma14_p3_f50_lL,7328,0.02,0.01,7,7308.0,7328,0.3,7328.0,7328,1,,0
burma14_p3_f50_lM,7308,0.00,0.00,0,7308.0,7308,0.0,7308.0,7308,1,,0
burma14_p3_f70_lH,8508,0.04,0.08,33,8414.0,8508,1.1,8508.0,8508,1,,0
burma14_p3_f70_lL,8572,0.05,0.09,36,8414.3,8572,1.9,8572.0,8572,1,,0
burma14_p3_f70_lM,8508,0.04,0.07,31,8414.0,8508,1.1,8508.0,8508,1,,0
burma14_p3_f90_lH,9513,0.05,0.04,7,9490.0,9513,0.2,9513.0,9513,1,,0
burma14_p3_f90_lL,9513,0.04,0.04,7,9490.0,9513,0.2,9513.0,9513,1,,0
burma14_p3_f90_lM,9513,0.05,0.03,7,9490.0,9513,0.2,9513.0,9513,1,,0
burma14_p5_f50_lH,12667,0.00,0.00,0,12667.0,12667,0.0,12667.0,12667,1,,0
burma14_p5_f50_lL,12687,0.04,0.03,4,12667.0,12687,0.2,12687.0,12687,1,,0
burma14_p5_f50_lM,12667,0.00,0.00,0,12667.0,12667,0.0,12667.0,12667,1,,0
burma14_p5_f70_lH,14241,0.08,0.33,419,14085.0,14241,1.1,14241.0,14241,1,,0
burma14_p5_f70_lL,14313,0.06,0.22,144,14085.0,14313,1.6,14313.0,14313,1,,0
burma14_p5_f70_lM,14249,0.10,0.26,135,14085.0,14249,1.2,14249.0,14249,1,,0
burma14_p5_f90_lH,16048,0.09,0.07,19,15974.0,16048,0.5,16048.0,16048,1,,0
burma14_p5_f90_lL,16048,0.08,0.07,12,15974.0,16048,0.5,16048.0,16048,1,,0
burma14_p5_f90_lM,16048,0.07,0.08,22,15974.0,16048,0.5,16048.0,16048,1,,0
ulysses16_p3_f50_lH,17303,0.00,0.01,0,17303.0,17303,0.0,17303.0,17303,1,,0
ulysses16_p3_f50_lL,17303,0.00,0.01,1,17303.0,17303,0.0,17303.0,17303,1,,0
ulysses16_p3_f50_lM,17303,0.00,0.01,1,17303.0,17303,0.0,17303.0,17303,1,,0
ulysses16_p3_f70_lH,19668,0.05,0.08,53,19385.0,19668,1.5,19667.0,19668,1,,0
ulysses16_p3_f70_lL,19668,0.04,0.11,76,19385.0,19668,1.5,19668.0,19668,1,,0
ulysses16_p3_f70_lM,19668,0.03,0.10,89,19385.0,19668,1.5,19668.0,19668,1,,0
ulysses16_p3_f90_lH,20212,0.05,0.22,152,20049.5,20212,0.8,20210.0,20212,1,,0
ulysses16_p3_f90_lL,20212,0.06,0.18,92,20049.3,20212,0.8,20210.5,20212,1,,0
ulysses16_p3_f90_lM,20212,0.05,0.21,161,20049.0,20212,0.8,20210.5,20212,1,,0
ulysses16_p5_f50_lH,28783,0.07,0.29,194,28587.4,28783,0.7,28783.0,28783,1,,0
ulysses16_p5_f50_lL,28783,0.07,0.28,227,28586.0,28783,0.7,28781.0,28783,1,,0
ulysses16_p5_f50_lM,28783,0.07,0.21,123,28587.4,28783,0.7,28781.3,28783,1,,0
ulysses16_p5_f70_lH,32502,0.10,0.54,432,32034.0,32518,1.5,32498.8,32502,1,,0
ulysses16_p5_f70_lL,32502,0.09,0.33,148,32034.0,32518,1.5,32499.3,32502,1,,0
ulysses16_p5_f70_lM,32502,0.10,0.31,132,32034.0,32518,1.5,32499.0,32502,1,,0
ulysses16_p5_f90_lH,33408,0.09,0.22,72,33184.0,33408,0.7,33405.5,33408,1,,0
ulysses16_p5_f90_lL,33408,0.12,0.23,131,33184.0,33408,0.7,33404.8,33408,1,,0
ulysses16_p5_f90_lM,33408,0.13,0.21,61,33184.0,33408,0.7,33406.0,33408,1,,0
br17_p3_f50_lH,117,0.00,0.00,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f50_lL,117,0.00,0.00,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f50_lM,117,0.00,0.00,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f70_lH,117,0.00,0.01,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f70_lL,117,0.00,0.01,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f70_lM,117,0.00,0.01,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f90_lH,117,0.00,0.02,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f90_lL,117,0.00,0.03,0,117.0,117,0.0,117.0,117,1,,0
br17_p3_f90_lM,117,0.00,0.03,0,117.0,117,0.0,117.0,117,1,,0
br17_p5_f50_lH,195,0.00,0.00,0,195.0,195,0.0,195.0,195,1,,0
br17_p5_f50_lL,195,0.00,0.00,0,195.0,195,0.0,195.0,195,1,,0
br17_p5_f50_lM,195,0.00,0.00,0,195.0,195,0.0,195.0,195,1,,0
br17_p5_f70_lH,190,0.00,0.04,0,190.0,190,0.0,190.0,190,1,,0
br17_p5_f70_lL,190,0.00,0.04,0,190.0,190,0.0,190.0,190,1,,0
br17_p5_f70_lM,190,0.00,0.04,0,190.0,190,0.0,190.0,190,1,,0
br17_p5_f90_lH,195,0.00,0.04,0,195.0,195,0.0,195.0,195,1,,0
br17_p5_f90_lL,195,0.00,0.04,0,195.0,195,0.0,195.0,195,1,,0
br17_p5_f90_lM,195,0.00,0.04,0,195.0,195,0.0,195.0,195,1,,0
gr17_p3_f50_lH,5186,0.00,0.00,0,5186.0,5186,0.0,5186.0,5186,1,,0
gr17_p3_f50_lL,5186,0.00,0.00,0,5186.0,5186,0.0,5186.0,5186,1,,0
gr17_p3_f50_lM,5186,0.00,0.00,0,5186.0,5186,0.0,5186.0,5186,1,,0
gr17_p3_f70_lH,5534,0.06,0.40,212,5499.0,5586,1.6,5534.0,5534,1,,0
gr17_p3_f70_lL,5588,0.10,1.73,1924,5499.0,5588,1.6,5588.0,5588,1,,0
gr17_p3_f70_lM,5534,0.06,0.45,283,5499.0,5586,1.6,5534.0,5534,1,,0
gr17_p3_f90_lH,6009,0.09,0.10,21,5975.0,6009,0.6,6009.0,6009,1,,0
gr17_p3_f90_lL,6009,0.08,0.09,13,5975.0,6009,0.6,6009.0,6009,1,,0
gr17_p3_f90_lM,6009,0.08,0.09,18,5975.0,6009,0.6,6009.0,6009,1,,0
gr17_p5_f50_lH,8448,0.06,0.04,3,8444.0,8448,0.0,8448.0,8448,1,,0
gr17_p5_f50_lL,8456,0.04,0.04,10,8445.0,8456,0.1,8456.0,8456,1,,0
gr17_p5_f50_lM,8452,0.07,0.08,19,8444.0,8452,0.1,8452.0,8452,1,,0
gr17_p5_f70_lH,9232,0.13,1.64,1380,9144.0,9232,1.0,9232.0,9232,1,,0
gr17_p5_f70_lL,9238,0.12,0.34,116,9144.0,9238,1.0,9238.0,9238,1,,0
gr17_p5_f70_lM,9234,0.11,0.76,547,9144.0,9234,1.0,9234.0,9234,1,,0
gr17_p5_f90_lH,10027,0.11,0.49,280,9962.0,10027,0.7,10026.0,10027,1,,0
gr17_p5_f90_lL,10027,0.15,0.41,154,9962.0,10027,0.7,10027.0,10027,1,,0
gr17_p5_f90_lM,10027,0.14,0.54,319,9962.0,10027,0.7,10026.0,10027,1,,0
gr21_p3_f50_lH,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
gr21_p3_f50_lL,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
gr21_p3_f50_lM,6859,0.00,0.00,0,6859.0,6859,0.0,6859.0,6859,1,,0
