Instance name,T,max time,# days,# customers,# operations,Opt. no waiting,Opt. waiting,Problem type,Algorithm,# cons,# var,Root time (sec.),Total time (sec.),SEC r_time (sec.),SEC time (sec.),PEC r_time (sec.),PEC time (sec.),# BB r_iterations,# BC iterations,# BC nodes,# SEC r_cuts,# SEC cuts,# PEC r_cuts,# PEC cuts,Root LB,Root UB,Best Bound,Best Integer,Status
burma14_p3_f50_lH,617,2817,3,13,22,7328,7308,CTSP_2,COMPACT,206,161,0.00,0.00,0.00,0.00,0.00,0.00,0,88,0,5,5,0,0,0.0,0,7308.00,7308,2
burma14_p3_f50_lL,308,2817,3,13,22,7328,7328,CTSP_2,COMPACT,206,161,0.01,0.01,0.00,0.00,0.00,0.00,102,273,18,5,7,0,0,7308.0,7328,7328.00,7328,2
burma14_p3_f50_lM,463,2817,3,13,22,7328,7308,CTSP_2,COMPACT,206,161,0.00,0.00,0.00,0.00,0.00,0.00,0,95,0,5,5,0,0,0.0,0,7308.00,7308,2
burma14_p3_f70_lH,621,3418,3,13,31,8572,8508,CTSP_2,COMPACT,398,322,0.03,0.23,0.00,0.02,0.00,0.00,216,8335,683,11,38,0,0,8414.0,8508,8508.00,8508,2
burma14_p3_f70_lL,310,3418,3,13,31,8652,8572,CTSP_2,COMPACT,398,322,0.03,0.08,0.00,0.00,0.00,0.00,221,1612,91,11,25,0,0,8414.0,8572,8572.00,8572,2
burma14_p3_f70_lM,466,3418,3,13,31,8572,8508,CTSP_2,COMPACT,398,322,0.03,0.07,0.00,0.00,0.00,0.00,212,1161,68,11,20,0,0,8414.0,8508,8508.00,8508,2
burma14_p3_f90_lH,653,3554,3,13,35,9513,9513,CTSP_2,COMPACT,496,408,0.03,0.03,0.00,0.00,0.00,0.00,190,424,15,8,16,0,0,9490.0,9513,9513.00,9513,2
burma14_p3_f90_lL,326,3554,3,13,35,9513,9513,CTSP_2,COMPACT,496,408,0.02,0.04,0.00,0.00,0.00,0.00,203,484,14,8,12,0,0,9490.0,9513,9513.00,9513,2
burma14_p3_f90_lM,490,3554,3,13,35,9513,9513,CTSP_2,COMPACT,496,408,0.02,0.04,0.00,0.00,0.00,0.00,208,354,10,8,12,0,0,9490.0,9513,9513.00,9513,2
burma14_p5_f50_lH,617,3395,5,13,36,12687,12667,CTSP_2,COMPACT,362,259,0.00,0.00,0.00,0.00,0.00,0.00,0,130,0,10,10,0,0,0.0,0,12667.00,12667,2
